locus,beta
0,0.3401474194889439
1,0.12247720074612645
2,0.14282480063542424
3,0.16830824979716097
4,0.4287486541076496
5,0.19959198824517738
6,-0.13763232007887394
7,-0.167644988951829
8,0.15467827077107027
9,0.15509427376446694
10,0.3789795488372224
11,-0.16799527818551016
12,0.1997763159055311
13,-0.4736440263337494
14,-0.2687067803195591
15,0.17623909705001714
16,-0.13503441918952325
17,0.1004313841886296
18,0.14557562065898527
19,0.10095344636078818
20,-0.1390919767107858
21,-0.1357327857351484
22,0.1667687386473123
23,0.1892120331470919
24,-0.3447618286765079
25,-0.15298249413636542
26,0.9937427623849144
27,0.457040259051003
28,-0.11153257267346722
29,-0.14846139333896644
30,-0.5162508870558875
31,0.12976672898425057
32,-0.6731096193815398
33,0.4765618194861097
34,0.26600274895006926
35,0.12543083226489932
36,0.32154834533354176
37,-0.33635629132722167
38,0.2276939923621138
39,0.19380759001816972
40,-0.18638070928149555
41,0.4689456643591406
42,-0.2223532455886717
43,0.10389620819931153
44,0.3634415778998674
45,-0.4433303287742611
46,0.16886327787417194
47,0.49395874099297676
48,0.19869063786929186
49,-0.10702656806016074
50,-0.14234724664341042
51,0.2558369042503061
52,-0.13081926514153014
53,-0.3128816583898199
54,-0.15189452134744058
55,-0.4478543174731888
56,-0.7678417927920993
57,0.10069301136972175
58,0.11004973984762126
59,0.1365325162323115
60,-0.7940057715186308
61,0.8352302068334844
62,0.4934189039179618
63,0.19477233205691188
64,0.182812508118364
65,-0.11459553792236607
66,-0.14481589818711912
67,0.41886123172441814
68,-0.13515183161880126
69,-0.13933703610952144
70,0.2922028427111668
71,0.13135576094916207
72,0.20517519910158688
73,-0.18278814232676469
74,0.11625488428397542
75,-0.47633814930342583
76,-0.16046288934129954
77,-0.15369404297846243
78,0.13580363327717096
79,0.23985966134115852
80,0.18884909387247997
81,-0.13642967455516808
82,0.1912873048209799
83,0.4650800814107693
84,-0.15002272913845643
85,-0.10214387581823882
86,-0.11345120893089418
87,-0.20419812512922297
88,-0.8500410103472558
89,-0.20008591329391906
90,0.48094363300011356
91,-0.2555837539335224
92,0.13214433790820737
93,-0.47550945002778516
94,-0.1738508236262126
95,0.20472044851885324
96,0.3448915195426643
97,-0.4678394113738189
98,0.3367974622594394
99,0.28466347340133935
