i,j,gamma_pred,gamma_true,abs_error,auc,is_true
0,1,0.0,,,0.7686949987446677,False
0,2,0.0,,,0.7686949987446677,False
0,3,-0.08000000000000002,,,0.7688089533897514,False
0,4,-0.08000000000000002,,,0.7686996182112324,False
0,5,0.0,,,0.7686949987446677,False
0,6,0.0,,,0.7686949987446677,False
0,7,0.0,,,0.7686949987446677,False
0,8,0.0,,,0.7686949987446677,False
0,9,0.0,,,0.7686949987446677,False
0,10,0.0,,,0.7686949987446677,False
0,11,0.0,,,0.7686949987446677,False
0,12,-0.08000000000000002,,,0.7687464891501384,False
0,13,0.0,-0.0097199047141225,0.0097199047141225,0.7686949987446677,True
0,14,0.0,,,0.7686949987446677,False
0,15,0.0,,,0.7686949987446677,False
0,16,-0.08000000000000002,,,0.7687053301192146,False
0,17,0.0,-0.104659913426238,0.104659913426238,0.7686949987446677,True
0,18,0.0,,,0.7686949987446677,False
0,19,0.0,,,0.7686949987446677,False
0,20,0.0,,,0.7686949987446677,False
0,21,0.0,,,0.7686949987446677,False
0,22,0.0,,,0.7686949987446677,False
0,23,0.0,0.1074620508919647,0.1074620508919647,0.7686949987446677,True
0,24,0.0,,,0.7686949987446677,False
0,25,0.0,,,0.7686949987446677,False
0,26,0.0,,,0.7686949987446677,False
0,27,0.07999999999999996,0.1871872446017815,0.10718724460178153,0.768791000935793,True
0,28,0.0,,,0.7686949987446677,False
0,29,0.0,0.0969158801273341,0.0969158801273341,0.7686949987446677,True
0,30,0.0,,,0.7686949987446677,False
0,31,0.0,,,0.7686949987446677,False
0,32,0.0,,,0.7686949987446677,False
0,33,0.0,-0.0885293794209649,0.0885293794209649,0.7686949987446677,True
0,34,-0.08000000000000002,-0.3170288771540651,0.23702887715406507,0.7690369381103976,True
0,35,0.0,,,0.7686949987446677,False
0,36,0.0,,,0.7686949987446677,False
0,37,0.0,,,0.7686949987446677,False
0,38,0.0,,,0.7686949987446677,False
0,39,0.0,,,0.7686949987446677,False
0,40,0.0,,,0.7686949987446677,False
0,41,0.0,,,0.7686949987446677,False
0,42,0.0,,,0.7686949987446677,False
0,43,0.0,,,0.7686949987446677,False
0,44,0.0,,,0.7686949987446677,False
0,45,0.0,,,0.7686949987446677,False
0,46,-0.08000000000000002,,,0.7687129746080851,False
0,47,0.0,,,0.7686949987446677,False
0,48,0.0,0.1630040565280088,0.1630040565280088,0.7686949987446677,True
0,49,0.0,,,0.7686949987446677,False
0,50,0.0,,,0.7686949987446677,False
0,51,0.0,,,0.7686949987446677,False
0,52,-0.08000000000000002,0.0068718301312364,0.08687183013123642,0.7687802013720674,True
0,53,0.0,,,0.7686949987446677,False
0,54,-0.08000000000000002,,,0.7687049295573616,False
0,55,0.0,,,0.7686949987446677,False
0,56,0.0,,,0.7686949987446677,False
0,57,0.0,,,0.7686949987446677,False
0,58,0.0,,,0.7686949987446677,False
0,59,0.0,,,0.7686949987446677,False
0,60,-0.08000000000000002,,,0.7687447490470236,False
0,61,0.0,,,0.7686949987446677,False
0,62,0.0,,,0.7686949987446677,False
0,63,-0.08000000000000002,,,0.7687882282154338,False
0,64,0.0,,,0.7686949987446677,False
0,65,0.0,,,0.7686949987446677,False
0,66,0.0,,,0.7686949987446677,False
0,67,0.0,,,0.7686949987446677,False
0,68,0.0,,,0.7686949987446677,False
0,69,0.0,,,0.7686949987446677,False
0,70,0.0,-0.01184335371063,0.01184335371063,0.7686949987446677,True
0,71,0.0,,,0.7686949987446677,False
0,72,0.0,0.0411434311444527,0.0411434311444527,0.7686949987446677,True
0,73,0.0,,,0.7686949987446677,False
0,74,-0.08000000000000002,,,0.7687171935127968,False
0,75,0.0,,,0.7686949987446677,False
0,76,0.0,,,0.7686949987446677,False
0,77,0.0,,,0.7686949987446677,False
0,78,0.0,,,0.7686949987446677,False
0,79,0.0,,,0.7686949987446677,False
0,80,0.0,,,0.7686949987446677,False
0,81,0.0,,,0.7686949987446677,False
0,82,0.0,,,0.7686949987446677,False
0,83,0.0,,,0.7686949987446677,False
0,84,0.0,,,0.7686949987446677,False
0,85,0.0,,,0.7686949987446677,False
0,86,0.0,,,0.7686949987446677,False
0,87,0.0,,,0.7686949987446677,False
0,88,0.0,,,0.7686949987446677,False
0,89,0.0,-0.0516490850434369,0.0516490850434369,0.7686949987446677,True
0,90,0.0,,,0.7686949987446677,False
0,91,0.0,,,0.7686949987446677,False
0,92,0.0,,,0.7686949987446677,False
0,93,0.0,,,0.7686949987446677,False
0,94,0.0,,,0.7686949987446677,False
0,95,0.0,,,0.7686949987446677,False
0,96,-0.08000000000000002,,,0.7687146600891289,False
0,97,0.0,,,0.7686949987446677,False
0,98,0.0,,,0.7686949987446677,False
0,99,0.07999999999999996,0.1698447025674551,0.08984470256745514,0.7688026692505507,True
1,2,0.0,,,0.7686949987446677,False
1,3,-0.08000000000000002,,,0.7687156354832516,False
1,4,0.0,,,0.7686949987446677,False
1,5,0.0,,,0.7686949987446677,False
1,6,0.0,,,0.7686949987446677,False
1,7,0.0,,,0.7686949987446677,False
1,8,0.0,,,0.7686949987446677,False
1,9,0.0,,,0.7686949987446677,False
1,10,-0.08000000000000002,,,0.7688551818690619,False
1,11,0.0,,,0.7686949987446677,False
1,12,0.0,,,0.7686949987446677,False
1,13,-0.08000000000000002,,,0.7687435421593626,False
1,14,-0.08000000000000002,,,0.7688642673401829,False
1,15,0.0,,,0.7686949987446677,False
1,16,0.0,,,0.7686949987446677,False
1,17,0.0,,,0.7686949987446677,False
1,18,0.0,,,0.7686949987446677,False
1,19,0.0,,,0.7686949987446677,False
1,20,0.0,,,0.7686949987446677,False
1,21,0.0,,,0.7686949987446677,False
1,22,0.0,-0.1042568765549495,0.1042568765549495,0.7686949987446677,True
1,23,0.0,,,0.7686949987446677,False
1,24,0.0,,,0.7686949987446677,False
1,25,0.0,,,0.7686949987446677,False
1,26,-0.08000000000000002,,,0.7688381501871553,False
1,27,0.07999999999999996,0.1198348813672694,0.03983488136726944,0.7686959923461474,True
1,28,-0.08000000000000002,,,0.7687320038971548,False
1,29,-0.08000000000000002,,,0.7687200858815016,False
1,30,0.0,,,0.7686949987446677,False
1,31,-0.08000000000000002,,,0.7687514545564854,False
1,32,0.0,,,0.7686949987446677,False
1,33,0.0,,,0.7686949987446677,False
1,34,0.0,,,0.7686949987446677,False
1,35,0.0,0.1698499323675344,0.1698499323675344,0.7686949987446677,True
1,36,-0.08000000000000002,,,0.7687767055595319,False
1,37,0.0,,,0.7686949987446677,False
1,38,0.0,,,0.7686949987446677,False
1,39,0.0,,,0.7686949987446677,False
1,40,0.0,,,0.7686949987446677,False
1,41,0.0,,,0.7686949987446677,False
1,42,-0.08000000000000002,,,0.768742538153679,False
1,43,0.0,,,0.7686949987446677,False
1,44,0.0,,,0.7686949987446677,False
1,45,0.0,,,0.7686949987446677,False
1,46,-0.08000000000000002,0.0456267904734912,0.1256267904734912,0.7687285653077411,True
1,47,0.0,,,0.7686949987446677,False
1,48,-0.08000000000000002,,,0.7687451418057237,False
1,49,0.0,,,0.7686949987446677,False
1,50,-0.08000000000000002,,,0.7687368782667169,False
1,51,0.0,,,0.7686949987446677,False
1,52,0.0,,,0.7686949987446677,False
1,53,0.0,,,0.7686949987446677,False
1,54,-0.08000000000000002,,,0.7687987650730093,False
1,55,-0.08000000000000002,,,0.7687411934103153,False
1,56,-0.08000000000000002,,,0.7687514363491283,False
1,57,0.0,,,0.7686949987446677,False
1,58,-0.08000000000000002,,,0.7687416537963412,False
1,59,0.0,0.0267455236659933,0.0267455236659933,0.7686949987446677,True
1,60,0.0,,,0.7686949987446677,False
1,61,0.0,,,0.7686949987446677,False
1,62,0.0,,,0.7686949987446677,False
1,63,-0.08000000000000002,,,0.7688166941175085,False
1,64,0.0,,,0.7686949987446677,False
1,65,0.0,,,0.7686949987446677,False
1,66,-0.08000000000000002,,,0.768705546006447,False
1,67,0.0,,,0.7686949987446677,False
1,68,0.0,,,0.7686949987446677,False
1,69,0.0,,,0.7686949987446677,False
1,70,0.0,0.0653241351204965,0.0653241351204965,0.7686949987446677,True
1,71,-0.08000000000000002,,,0.7687135000203857,False
1,72,0.0,,,0.7686949987446677,False
1,73,0.0,,,0.7686949987446677,False
1,74,-0.08000000000000002,,,0.7688055564171538,False
1,75,0.0,,,0.7686949987446677,False
1,76,0.0,0.1689393765869061,0.1689393765869061,0.7686949987446677,True
1,77,0.0,,,0.7686949987446677,False
1,78,-0.08000000000000002,,,0.7687722629644348,False
1,79,0.0,,,0.7686949987446677,False
1,80,-0.08000000000000002,,,0.7687049321584127,False
1,81,0.0,,,0.7686949987446677,False
1,82,0.0,0.1631826358715482,0.1631826358715482,0.7686949987446677,True
1,83,0.0,0.1087068896464331,0.1087068896464331,0.7686949987446677,True
1,84,0.0,,,0.7686949987446677,False
1,85,-0.08000000000000002,,,0.7687689752359788,False
1,86,0.0,,,0.7686949987446677,False
1,87,0.0,,,0.7686949987446677,False
1,88,0.0,,,0.7686949987446677,False
1,89,0.0,,,0.7686949987446677,False
1,90,0.0,,,0.7686949987446677,False
1,91,0.0,,,0.7686949987446677,False
1,92,-0.08000000000000002,,,0.7687202211361535,False
1,93,-0.08000000000000002,,,0.7687375077210574,False
1,94,0.0,,,0.7686949987446677,False
1,95,-0.08000000000000002,,,0.7687044041450609,False
1,96,0.0,,,0.7686949987446677,False
1,97,-0.08000000000000002,,,0.7687103215360714,False
1,98,0.0,,,0.7686949987446677,False
1,99,0.0,0.1420348454655306,0.1420348454655306,0.7686949987446677,True
2,3,-0.08000000000000002,,,0.7687208375852389,False
2,4,0.0,,,0.7686949987446677,False
2,5,0.0,,,0.7686949987446677,False
2,6,0.07999999999999996,0.2550621785158429,0.17506217851584294,0.7690716101201432,True
2,7,0.0,,,0.7686949987446677,False
2,8,0.0,,,0.7686949987446677,False
2,9,0.0,,,0.7686949987446677,False
