i,j,gamma_hat,gamma_true,abs_error,auc,is_true
61,97,0.0704155742966503,0.1977326473432784,0.1273170730466281,0.7688738027931256,True
14,21,-0.04682027401220419,,,0.7688721147110306,False
11,20,-0.07373979368436845,-0.1360703042308577,0.06233051054648925,0.7688704240278847,True
22,70,0.040092382367277246,0.1341476418749081,0.09405525950763086,0.7688634740196297,True
39,96,-0.06829061024957205,-0.2879849821255457,0.21969437187597363,0.7688627977463713,True
23,72,-0.0576917112612112,,,0.7688621995046429,False
30,62,0.06353396267891191,0.130979435498246,0.06744547281933409,0.7688611772916023,True
14,87,-0.04395701905341588,,,0.7688580794398688,False
38,45,-0.08191034420863516,-0.1841020795227644,0.10219173531412923,0.7688476388211802,True
3,41,-0.05005577015205746,,,0.7688476284169763,False
67,80,-0.05298935775449403,-0.1242560874699613,0.07126672971546727,0.7688447282451183,True
85,87,-0.04459198972535203,,,0.7688442392475316,False
2,79,-0.05715496654345354,,,0.7688408370728318,False
19,87,-0.07398747030295309,,,0.7688403922931119,False
25,70,0.04176487817776514,,,0.7688401686027264,False
37,77,0.05255289622549298,,,0.7688400515554318,False
34,36,-0.048302453148095205,-0.1179512152788479,0.06964876213075269,0.7688398278650462,True
11,82,0.03856945533852871,,,0.7688390059329323,False
2,52,-0.064404079353634,-0.0674972452916599,0.003093165938025902,0.7688389331035045,True
39,90,0.04858106119473945,,,0.7688371357772679,False
61,89,0.04235510814421167,0.0589908727608386,0.016635764616626927,0.7688347922303225,True
19,80,-0.06860095049744111,,,0.7688346491725179,False
44,71,0.029827033277246014,,,0.7688334969069276,False
57,73,0.043052118785172476,0.1478918322550383,0.10483971346986581,0.7688321183499011,True
34,47,-0.04880636578546644,,,0.7688294288631735,False
38,57,0.05846347519036541,0.1076357770441743,0.04917230185380889,0.7688287603930684,True
37,70,0.0455493435746859,,,0.7688287057709974,False
20,63,-0.03871967754256829,,,0.7688278500252206,False
42,63,-0.039126330597486256,,,0.7688272543845428,False
3,68,-0.054834779848883214,-0.1549597817296263,0.10012500188074308,0.7688272517834918,True
20,50,-0.05085981714591303,,,0.7688260579010858,False
27,72,0.04091391057214341,0.0273746580342339,0.013539252537909507,0.7688219066236999,True
25,46,-0.05395166860753267,-0.1885802253743633,0.13462855676683064,0.7688218546026799,True
4,44,0.039020838578467235,0.0494630984150033,0.010442259836536065,0.7688201951321462,True
49,84,-0.03633102752684742,,,0.7688188035698645,False
59,89,-0.047085793640133364,-0.0870891293506802,0.04000333571054683,0.7688175550653875,True
33,63,-0.05642770267742013,-0.1819162658481486,0.12548856317072848,0.7688175498632855,True
0,27,0.05794733792487142,0.1871872446017815,0.12923990667691007,0.7688174796349087,True
27,99,0.06853754844791846,0.1868989173569588,0.11836136890904034,0.7688166681069987,True
0,99,0.07554919281927211,0.1698447025674551,0.09429550974818299,0.7688166238891317,True
49,57,-0.06256991042889946,,,0.7688165640649589,False
46,86,-0.04449644443140671,,,0.7688161374925959,False
43,82,0.06242855787799647,0.0344661154588831,0.027962442419113373,0.7688153545762468,True
29,52,-0.04153127179998052,-0.0977774116043279,0.05624613980434738,0.768814894190221,True
32,90,0.07668496372491934,0.2232740349420009,0.14658907121708156,0.7688148811849659,True
25,45,0.04376270465941369,,,0.7688148551744559,False
47,60,-0.047340167609053366,,,0.7688146939092945,False
2,72,-0.05094606011679351,-0.1146017193137696,0.06365565919697609,0.7688123919791651,True
3,59,-0.037540021989204066,,,0.7688112969366968,False
32,47,-0.03589398554857294,,,0.7688109770074246,False
37,64,0.04595335433244092,,,0.7688106882907642,False
28,44,0.02821788695247634,0.0788037039803508,0.050585817027874465,0.7688087062899072,True
21,84,-0.039573177874825394,,,0.7688085684342042,False
3,43,-0.03745221421957117,,,0.7688080820376685,False
44,53,0.021409500900481507,,,0.7688067008795909,False
20,39,-0.06451707433192395,-0.0334218094785998,0.031095264853324152,0.7688066280501631,True
50,77,-0.04602140913978026,-0.1958213778700217,0.14979996873024146,0.7688062092809531,True
50,87,-0.0395505705334484,,,0.7688059335695477,False
32,84,0.06589648048917993,0.2248457934805751,0.15894931299139517,0.7688056552570914,True
11,64,0.039105138155984646,,,0.7688055850287145,False
77,99,-0.03678539666691412,,,0.76880504921221,False
27,40,0.030545830264328427,0.0258975514161931,0.004648278848135328,0.768805007595394,True
37,88,0.045108888195968685,0.0520153897016293,0.006906501505660613,0.7688045159967563,True
3,50,-0.033032806225651426,,,0.7688041076317503,False
27,64,0.031906231748738356,,,0.7688032570880754,False
9,75,0.03562945897191721,,,0.7688032024660044,False
29,87,-0.0359275722450101,,,0.7688011632420254,False
57,62,0.056110668175954066,0.1207322024291463,0.06462153425319223,0.7687982448628106,True
29,61,0.04900187986990653,0.0881181448067331,0.03911626493682658,0.7687978755135695,True
43,68,0.05184103617009429,0.0576661202339801,0.005825084063885808,0.7687978104872946,True
3,49,0.0856689708601361,0.2405808379727752,0.1549118671126391,0.7687977428599686,True
0,3,-0.031095470085075835,,,0.7687973579044217,False
23,46,-0.03877517042085226,-0.2241151188801673,0.18533994845931503,0.7687966400143474,True
3,84,-0.031447927583841816,,,0.7687966140038374,False
3,63,-0.027733589531456097,,,0.768796426728166,False
9,60,-0.042259421681741814,,,0.7687960729852308,False
22,37,0.036953433153516055,,,0.7687957504549076,False
51,84,-0.04006344472209282,,,0.76879515481423,False
59,69,-0.04654431848139982,,,0.7687950845858531,False
15,37,0.04693856755155072,,,0.7687946632155922,False
51,63,-0.02521512807521886,,,0.7687931572070668,False
6,44,0.022829930153088214,,,0.768792314466545,False
61,70,0.029075327428781196,,,0.7687919971383237,False
36,91,-0.032320419451646945,-0.0535814140740676,0.021260994622420655,0.768791851479468,True
20,43,-0.04796048801743334,,,0.7687917500384792,False
81,84,-0.044682142579128864,-0.1375665877958133,0.09288444521668443,0.7687898746807129,True
45,98,0.03926631518169006,,,0.768789432502044,False
1,14,-0.023404855373926677,,,0.7687890839612107,False
72,79,0.058369459538852295,0.1182300939801363,0.059860634441284005,0.768789057950701,True
61,84,0.043819519901905385,,,0.7687890215359869,False
38,99,0.036705327962893816,,,0.7687882152101789,False
20,28,-0.038611626061459424,,,0.768788189199669,False
67,81,-0.03753050852336079,,,0.7687878380577848,False
57,63,-0.04224187069054461,-0.1643207948425944,0.1220789241520498,0.7687877782336119,True
4,96,-0.03302281510790846,-0.1019461342205859,0.06892331911267745,0.7687874140864729,True
37,71,0.03842339371870253,0.1284714432701102,0.09004804955140767,0.7687868990783762,True
11,75,0.036069038979761825,,,0.7687867560205714,False
1,26,-0.03260287783194569,,,0.7687867066006026,False
