i,j,gamma_hat,gamma_true,abs_error,auc,is_true
0,1,0.009454700444976868,,,0.7686718545929261,False
0,2,0.017836667434472937,,,0.7686896353775189,False
0,3,-0.031095470085075835,,,0.7687973579044217,False
0,4,-0.011250639463731343,,,0.7687280685070013,False
0,5,0.0048433130198832705,,,0.7686901165719526,False
0,6,0.023349800694385456,,,0.7687067008730883,False
0,7,0.016882403404947885,,,0.768668977830527,False
0,8,0.009514171154124194,,,0.7686866493709781,False
0,9,0.0008953831820549159,,,0.7686935369540093,False
0,10,0.0029788609364190793,,,0.7686871981927377,False
0,11,0.018787185611474307,,,0.768686319037502,False
0,12,-0.01983101707126992,,,0.7687501566320396,False
0,13,-0.003037399096337031,-0.0097199047141225,0.0066825056177854695,0.7687022712832461,True
0,14,0.009614565583683508,,,0.7686708063693757,False
0,15,0.014998375679098322,,,0.7686795302944084,False
0,16,-0.013579499938600982,,,0.7687287499823616,False
0,17,-0.012289209631540494,-0.104659913426238,0.0923707037946975,0.7687078453355255,True
0,18,0.00609213556729969,,,0.7686987806728125,False
0,19,0.023621388475106142,,,0.7686909697166786,False
0,20,-0.012942998761129216,,,0.7687243932219473,False
0,21,0.0038351076803154957,,,0.7686895885586009,False
0,22,0.012901028123305465,,,0.7686922026148497,False
0,23,0.030152687452006156,0.1074620508919647,0.07730936343995855,0.7686525001724822,True
0,24,0.001752017939493286,,,0.7686905873621827,False
0,25,0.0006538355951760059,,,0.7686951131909114,False
0,26,0.0035311720845781673,,,0.7686855101106428,False
0,27,0.05794733792487142,0.1871872446017815,0.12923990667691007,0.7688174796349087,True
0,28,0.018215345055051485,,,0.7686841185483612,False
0,29,0.02993758282419497,0.0969158801273341,0.06697829730313913,0.7686555902210627,True
0,30,-0.02249754236902031,,,0.7687289034443702,False
0,31,0.01251392035523375,,,0.7686764116342669,False
0,32,0.03290075395867277,,,0.7686770332854544,False
0,33,-0.03729933546759803,-0.0885293794209649,0.05123004395336686,0.7687392218136622,True
0,34,-0.08332625402932263,-0.3170288771540651,0.23370262312474244,0.7690338350565621,True
0,35,-0.004711520920798147,,,0.7687043495229899,False
0,36,0.010457046599746146,,,0.7686701378992702,False
0,37,0.03284030353899961,,,0.7686929621217397,False
0,38,0.009601040711570549,,,0.7687051428435431,False
0,39,-0.006694685814470941,,,0.7687052650929398,False
0,40,0.011978540903696405,,,0.7686910737587184,False
0,41,-0.02683745568615457,,,0.7687047422816901,False
0,42,0.01757186125073097,,,0.768676479261593,False
0,43,0.009605337476121027,,,0.7686829896922301,False
0,44,0.009030361131346278,,,0.7687125532378241,False
0,45,0.006138112940182064,,,0.7686950351593818,False
0,46,-0.008180764795848882,,,0.768719563070252,False
0,47,-0.002972811520113406,,,0.768702258277991,False
0,48,0.04729998483507566,0.1630040565280088,0.11570407169293315,0.7687368756656658,True
0,49,0.031374911112906925,,,0.7686742943787581,False
0,50,0.027205671580858872,,,0.7686786251286627,False
0,51,0.0001679180570966117,,,0.7686950091488717,False
0,52,-0.006962128112968823,0.0068718301312364,0.013833958244205222,0.7687199506268501,True
0,53,0.0071514836583500335,,,0.7686881241668915,False
0,54,-0.0018023687065043797,,,0.7687014675584889,False
0,55,-0.00908549314192398,,,0.7687102435045416,False
0,56,0.0008699231130980265,,,0.768692397693674,False
