i,j,gamma_pred
0,43,-0.37116676708236823
4,21,-0.20186064105814372
30,71,-0.1098553762129326
1,59,-0.1091840149211825
1,62,0.12167591899844238
14,66,-0.06297926373607977
15,57,-0.0944469196056899
12,47,-0.03537117521144096
28,39,-0.08770956780962144
28,79,-0.20492334875987925
10,79,0.13210162226752786
2,43,0.09126548501710188
47,90,-0.06939941010934247
27,28,0.09749423211468544
44,78,0.15192178655661467
74,81,0.08954690335347469
0,91,-0.04694175739015549
80,98,0.14645097621578915
16,74,-0.09736437015773669
0,16,0.06798797014127561
4,43,0.1708593888513293
27,40,-0.08916563182014958
45,98,-0.07902120838659554
64,92,-0.1099694233904309
38,55,0.055551125882621094
17,78,-0.05297479347473672
0,3,0.09249543963966009
69,91,0.15662078379620828
63,70,0.008728201506157034
28,82,0.11261678494394364
79,83,0.044120308962568716
52,65,-0.16442641082102016
23,48,-0.09348085103421151
23,57,0.1242333405754108
28,58,0.047959408252777225
22,28,-0.05302852009913213
17,89,0.07764261136014353
63,98,0.13401333191095688
83,95,0.1029114206784341
28,71,0.16167586660434255
14,38,-0.11041591395586721
27,64,-0.11362624818526515
8,14,0.1377624657016334
78,81,-0.040307546763574245
60,98,-0.09814060513346241
77,86,-0.03641496378058491
14,40,-0.01456219233965686
71,92,0.11946512277398345
48,60,0.1439570731480997
14,44,-0.13260730512175667
14,90,0.24945094811165924
84,96,-0.054870533629539246
63,78,-0.16449500535340006
67,98,0.08022361639189936
27,77,0.300960606706797
9,65,0.08384260420359058
6,98,-0.2818054924662159
51,53,-0.11866667758972274
10,12,0.20779282182216816
21,91,-0.16931440028137038
43,93,0.08028873936581202
57,81,-0.07818361813966049
22,58,-0.08905709237883831
9,51,0.06497882187231688
28,33,-0.06775264418675658
41,77,-0.12900103695276421
2,21,0.1469754909265257
35,89,-0.03111213665355851
22,82,-0.03677001685759261
40,58,0.06277277983571963
51,81,0.12514006778262673
51,83,-0.23859803196242194
12,25,-0.07757110033354989
1,27,-0.10768173990921903
65,98,-0.05010899035647594
35,64,0.08686927582703195
20,90,-0.04990273794090529
51,71,0.09841103093061454
24,97,0.06044549574055423
1,19,0.17560286652961626
85,89,-0.07438620176383683
13,55,-0.10351663302283186
71,74,-0.113347988816623
10,75,-0.1409315306183937
41,74,0.08104117557252884
69,98,0.07749586393907879
52,85,0.09616001133128219
46,67,-0.09328371541487483
39,94,-0.16594199748641916
0,84,0.07957606150732735
2,69,-0.17100257521622658
19,86,-0.0716268446909352
21,85,0.09219859524448881
14,39,-0.03504341709315956
0,63,0.08675338104169222
39,65,0.09856333301243596
22,41,0.10869230013216882
6,32,0.06323941746491765
10,44,-0.11712643608978085
25,67,0.018403604336612187
16,44,0.0707429083863847
66,99,0.03332232193801604
4,83,0.08115610553056522
16,50,-0.058992047516862316
40,51,0.054507204612888494
17,79,-0.06766231412573737
32,77,-0.056723722978888585
39,40,0.11994430545696279
6,59,0.0768481308097175
39,90,-0.03560683020990178
39,88,0.0182257294714451
78,94,0.15929454693430198
7,50,-0.022269107941775876
22,89,0.05922029667571462
18,57,0.05563317521685149
24,85,-0.005232160535561748
40,59,-0.06580195575206482
21,67,0.10781985313432924
5,13,0.0420498022507122
46,47,0.04446049893400005
13,27,-0.040206017500770797
9,57,-0.08306982495705537
55,74,0.049176157857811625
32,59,0.03536382767828891
98,99,-0.03946609392606653
