i,j,gamma_pred
45,79,-0.08956368528265489
73,87,0.05745541872868924
36,70,0.12010566634085666
39,77,0.08050171073782314
39,92,0.06701088487031566
44,78,0.14683506292713028
27,74,-0.08536936304390336
36,62,0.06610712377955066
69,91,0.1441333852010201
79,83,0.045471948126613926
71,92,0.0882992289381406
0,16,0.02905214317585482
74,81,0.0793042908302629
18,34,0.05149888816312126
58,82,0.08932799089777173
1,33,-0.07516010369146031
36,66,-0.07556244393701006
6,11,0.1090589673058453
48,60,0.09532307949101346
16,44,0.05607495822943184
16,95,-0.07142125276306834
62,89,0.0707079964737101
37,62,-0.10381362528086921
10,56,0.08543458383695449
1,62,0.15391158709968944
51,83,-0.2212113154274358
10,62,0.043037052037766664
54,77,-0.06218012593615701
2,21,0.13704395339961808
14,78,-0.050600186326353144
61,63,-0.05367692956669441
66,78,-0.0550623419158427
2,73,0.052054612198521616
0,3,0.12130268304262581
49,75,0.08958958476860476
52,99,-0.07360882565712049
15,99,0.07442587748938441
66,99,0.07133191054608481
10,12,0.20236790440806346
80,92,-0.05013927707019592
2,82,-0.2012039060527439
0,30,-0.08003758202559409
12,62,-0.12026732161864909
43,93,0.09954824268540921
0,84,0.08506891050773288
40,51,0.1305744081445406
10,87,-0.10462327833876268
4,89,0.11484628701359315
69,88,0.044681253571528384
39,99,0.025277601044051246
21,67,0.04207967100839552
1,19,0.17346851417288203
10,79,0.1809426247010248
4,69,-0.09832654892541845
27,77,0.2402781182796075
47,87,0.08864549144359399
73,78,0.09561144944697028
1,56,-0.0862683874287602
68,89,-0.08044094097733784
16,20,-0.10258112478595112
21,93,0.07939883891953411
0,43,-0.364397193563471
27,93,-0.09269580086205045
42,52,0.10506570113536073
10,78,-0.20409030241075113
39,94,-0.11197947151450613
4,21,-0.20654960744369674
4,78,0.13913712366225103
8,14,0.1143222161162129
2,15,-0.12326489181731903
2,43,0.07922151884020898
10,13,-0.09158244496500256
3,44,-0.08321391571180346
2,19,-0.10208131115617573
2,37,0.14392538408765038
40,60,-0.04753006457038207
6,98,-0.28537383078031864
25,58,-0.05449195219271257
36,71,0.060713287910409884
10,39,-0.08060237893164311
4,93,0.03074410960652333
63,98,0.12157568587171073
41,99,-0.08274237437016783
82,99,0.07313997102890654
21,91,-0.12753234080043682
29,82,0.11910593551959303
52,71,-0.1358212590572324
16,71,0.08500323054720048
1,27,-0.10518516042183818
87,99,-0.1463318769038514
48,70,-0.15120368309096602
43,48,0.06474088913273615
26,99,-0.062893042915628
13,55,-0.034420945405556555
63,78,-0.204628635918001
47,77,-0.06473857914534956
63,99,0.14183485669015683
84,96,-0.10652453480666073
28,79,-0.18846528860361483
47,51,-0.03266782004169369
7,61,-0.006794872876116256
28,45,0.10769960194634806
24,65,0.05180225792429602
52,83,0.11482817152608843
0,63,0.10659027192095274
43,57,0.008902945659093775
14,19,-0.07878300956371606
0,79,0.057914985979951254
22,41,0.16709679881080838
93,97,-0.09767013084388021
16,94,0.0926299868487366
22,73,-0.08173352177118115
17,90,0.06919171859244824
8,17,-0.03005194408532648
42,44,-0.10366377297223658
93,95,0.058943444073700335
50,96,0.06207123868737008
63,89,-0.07917664383632851
49,50,-0.08657918432166334
29,41,-0.06528641381901007
37,94,0.05121629964157595
36,77,-0.08566038421211326
10,81,-0.08639537406881628
8,44,0.03379801351503481
31,92,0.0016858175505146955
