i,j,gamma_true,times_found,detection_rate,mean_gamma_pred,gamma_error_when_found
15,30,-0.041162993313709,0,0.0,,
13,57,-0.0404524416963848,0,0.0,,
72,94,-0.0399511842440636,0,0.0,,
5,33,-0.0396342060648257,0,0.0,,
5,60,-0.0391856462949862,0,0.0,,
15,55,-0.0381677828341261,0,0.0,,
26,99,-0.037875054159549,1,0.16666666666666666,-0.062893042915628,0.025017988756079003
67,85,-0.0377741228345343,0,0.0,,
42,83,-0.0375177668290573,0,0.0,,
21,96,-0.0356629703645781,0,0.0,,
25,67,-0.0333198542195747,1,0.16666666666666666,0.0184036043366121,0.051723458556186805
4,88,-0.0323966662713704,0,0.0,,
52,80,-0.0319269179533841,0,0.0,,
83,93,-0.0312752556303985,0,0.0,,
44,47,-0.0308163509070338,0,0.0,,
0,97,-0.0306972147810521,0,0.0,,
1,61,-0.0295260432579278,1,0.16666666666666666,-0.0937174816984635,0.06419143844053571
51,63,-0.0287052761283467,0,0.0,,
43,56,-0.0286635573597125,0,0.0,,
6,85,-0.0280842451402697,0,0.0,,
12,35,-0.027975367178924,0,0.0,,
42,58,-0.0275559855389849,0,0.0,,
41,77,-0.0266645735320359,1,0.16666666666666666,-0.1290010369527642,0.10233646342072829
40,98,-0.0263024542591248,0,0.0,,
24,42,-0.0259843205823835,0,0.0,,
17,88,-0.0259305381134245,0,0.0,,
42,61,-0.0242988336306533,0,0.0,,
14,17,-0.0240034664235296,0,0.0,,
23,73,-0.0227578216808253,0,0.0,,
57,58,-0.0223045970185379,0,0.0,,
31,72,-0.0218650402738795,0,0.0,,
32,34,-0.0203634356104389,0,0.0,,
51,52,-0.0201002479111304,0,0.0,,
10,92,-0.0198011486980889,0,0.0,,
14,99,-0.0181790718792785,0,0.0,,
52,81,-0.0178700935056495,0,0.0,,
30,48,-0.0174827365315902,1,0.16666666666666666,-0.0845384927557836,0.0670557562241934
76,95,-0.0158317571080198,0,0.0,,
27,37,-0.0158299680028733,0,0.0,,
85,91,-0.015586754748341,1,0.16666666666666666,0.1361511600348459,0.1517379147831869
19,36,-0.0154803144278434,0,0.0,,
3,98,-0.0144524309554764,0,0.0,,
14,97,-0.0128255834229971,0,0.0,,
0,65,-0.0127002655906569,0,0.0,,
45,84,-0.011743686085823,0,0.0,,
10,36,-0.0117338489845696,0,0.0,,
4,20,-0.0116495201564383,0,0.0,,
9,68,-0.0114598793756018,0,0.0,,
39,52,-0.0106853166841878,0,0.0,,
45,49,-0.0105335004624858,0,0.0,,
66,78,-0.0101410185240162,1,0.16666666666666666,-0.0550623419158427,0.0449213233918265
55,57,-0.0092711815098642,0,0.0,,
9,79,-0.0075830101655257,0,0.0,,
53,97,-0.0072724943707736,0,0.0,,
50,78,-0.0072553260850006,0,0.0,,
86,91,-0.0068658639893292,0,0.0,,
1,52,-0.0064736052381642,0,0.0,,
64,85,-0.005549540094695,0,0.0,,
18,80,-0.0045706739236392,0,0.0,,
25,39,-0.0038204580143301,0,0.0,,
24,33,-0.0032849283048286,0,0.0,,
5,99,-0.0031954663447807,0,0.0,,
