i,j,gamma_pred
52,65,-0.13832093019614358
0,63,0.08776564193930086
6,98,-0.3003889608188025
10,79,0.17344975569651064
1,61,-0.09371748169846358
1,62,0.17983104895709587
28,82,0.0954556893883815
39,80,-0.060592053783932745
1,19,0.1678771849602336
82,94,0.006948710825155257
12,13,-0.09165703351965471
42,88,0.032395912324992775
21,91,-0.16913807299194347
47,86,-0.08380575370332659
12,80,0.007432063254267429
10,61,-0.016037189158185
50,79,0.06554417187573888
58,69,0.10837066531212905
34,79,-0.10108443681333067
36,78,0.0867762840251089
28,79,-0.182755163096182
34,95,0.058649350732434075
43,93,0.051163599338787086
10,12,0.24561213812460336
65,80,0.05318663588782252
20,90,-0.08548678348603883
10,81,-0.1331816746598778
35,82,-0.06973898629497655
33,77,-0.0735247485343177
6,11,0.10101113619914584
3,12,-0.09924770242583417
64,99,0.042176647555142
51,83,-0.2533890795561734
6,43,0.10395292838048971
83,95,0.15780432597816102
2,82,-0.18258654100268568
8,92,-0.06828909630676107
52,71,-0.07043861390008502
22,72,0.034218026885093636
87,99,-0.1245170987310463
13,17,0.10300372127328129
39,75,0.11237215984149858
16,74,-0.0594307673927224
39,94,-0.1683576781840501
85,91,0.1361511600348459
30,91,-0.12821453415215026
42,45,-0.1102364448068032
0,3,0.17122545027818561
72,95,-0.06199812264789607
47,58,-0.12516789226438815
2,21,0.13593880067513853
75,81,0.09829716308907753
57,77,-0.07109135523209326
1,95,-0.08645108022367214
29,82,0.15848113967867172
27,77,0.2611932833324566
40,41,-0.05223507634674185
27,31,-0.11222730015168605
17,95,-0.12541554552629597
2,48,0.10039211510125516
0,43,-0.32769420036389413
53,70,-0.04736694323518942
51,71,0.12035778824140236
15,95,0.10351812525396302
12,27,-0.09123303248163764
52,83,0.11829515453221064
1,25,-0.08218739687887329
78,94,0.14902609659267751
33,47,0.08204723254309956
4,21,-0.17935741750144035
2,69,-0.08766593480000015
28,46,0.03832364439546529
21,97,0.09580077798685979
63,98,0.09627070556207212
10,78,-0.2612739732612237
1,31,0.0954953852526197
27,40,-0.019995061098528485
12,65,0.04203580466970665
19,55,-0.07595246985116062
23,57,0.04110401602910746
15,29,-0.06404423359608344
14,90,0.22522208292644624
1,33,-0.05155246276446014
63,72,-0.14351868782948757
4,43,0.0823842464991522
41,72,0.1007856731492853
85,92,0.046765930777557
48,69,-0.02757214367365148
40,51,0.06788122385656292
86,87,0.003803834338726061
75,87,0.05648808966158578
1,26,-0.06039829823270579
14,77,-0.09792077356567115
45,63,0.04602990318614425
50,80,-0.0200153754182629
53,96,0.04056964541625069
39,98,0.0732993152775934
42,47,0.05992672679405617
58,82,0.07897362198802141
61,74,0.06887230589718152
32,97,-0.02925842282301703
14,46,-0.026352166682383597
63,89,-0.07753455890231886
1,11,-0.06062355175213688
19,57,0.04986987989511793
20,30,0.06862557301454317
15,28,0.04860184989180866
35,74,-0.00863220025234937
2,19,-0.09527552763371028
61,64,-0.03007251832568396
16,44,0.08743520369369456
4,85,-0.013969042472538495
2,97,0.03732246807855118
1,69,0.058048326485274415
35,52,0.07877430776293254
76,79,-0.009674499254374266
7,84,-0.02485965419479022
23,39,0.009336142739870087
14,45,-0.10084840939503202
8,14,0.09470702866722921
24,35,-0.013615094126434052
28,77,-0.01814564250067526
11,62,-0.05029293036235725
39,48,-0.020688714780342815
21,47,0.07102976954019374
