i,j,gamma_pred
67,89,0.015253679261167608
4,21,-0.22899452482535593
4,43,0.11557701680725818
18,90,0.06998050883566567
29,41,-0.08858358425064744
34,40,-0.07301166015637693
35,43,0.055011504148316466
12,13,-0.08819640031472153
16,44,0.03435362238951842
51,53,-0.07964894733001582
13,70,0.04117782137548014
0,63,0.13539720011788486
51,87,0.08874605880448025
28,46,0.059532632366482124
4,29,0.09810220117440968
6,43,0.11015065261563278
27,28,0.03602524447886879
49,81,-0.08167595924879303
2,20,0.06193040672488347
27,31,-0.11451058894399588
77,90,-0.09640943254565024
47,67,-0.08367086306348451
22,42,0.08778969630061725
3,44,-0.0994160152093664
52,65,-0.1599891245347594
21,91,-0.09386872617183889
28,41,-0.1007669057642657
42,45,-0.08079339542877002
63,99,0.11306040255340746
34,81,0.09937278705289845
33,65,-0.06494404559367656
43,65,0.09782398529466853
9,51,0.10423082082674924
78,94,0.18776957316244688
17,78,-0.10145096649095162
51,81,0.10316471897042018
6,98,-0.2773606571993574
10,12,0.19952441919716024
28,92,0.07434221677034866
6,62,0.06276995079744886
1,94,-0.10359033893725143
46,57,0.09435506366281404
14,46,-0.07627456881971494
92,98,0.06882658253098643
22,71,-0.0716753765226394
63,74,-0.11210815176427735
58,82,0.10038249863800525
51,83,-0.21258576532249812
31,90,-0.09359492046450622
63,72,-0.14160166660370627
30,35,-0.04746827526961149
27,51,0.07583147305022801
48,60,0.0943278087112473
47,66,-0.03473192884657711
64,92,-0.12439323663401801
2,82,-0.20965214073412983
10,79,0.21339043514593767
60,89,-0.07025883712403311
9,57,-0.21429613810466203
10,78,-0.15776536348818035
63,67,0.060386836596131394
67,72,0.08410379971851403
10,22,-0.10699275574291578
21,57,0.13337805535459585
28,79,-0.2052269948673865
31,64,0.051701260444311364
1,31,0.07073480964766153
14,78,-0.11858287643402592
90,95,-0.07858306252337749
17,72,0.10210332832556288
28,71,0.15599863851519158
44,78,0.17607094723871103
63,89,-0.07047808106726847
1,19,0.14182189930873207
0,43,-0.3540022223703094
41,89,0.08391018292119956
31,52,0.07179544644282983
51,62,-0.15606425393588536
17,18,-0.09389468500897157
71,92,0.11478777139759605
0,3,0.22277190061790142
83,95,0.08390269065553593
39,94,-0.124426239578731
87,95,0.03333850272972755
14,90,0.22096168689521162
80,82,0.0528503494861808
39,98,0.15474976773775273
18,82,0.05793757764266513
36,81,-0.04422884458467163
16,74,-0.06026872965525314
27,36,0.03783973043105396
9,48,0.037800226066798365
10,44,-0.11669868352582136
1,27,-0.10084045804638873
36,83,0.02860001721323782
27,77,0.14198878869276763
48,62,0.016019572139454416
6,24,0.05637588865752244
2,37,0.0493435824278467
3,79,-0.04260679156403533
87,99,-0.08190984727189347
32,38,-0.01247588397350757
4,81,0.03002113699517045
6,9,0.06402794955217443
49,62,0.07044054628072544
41,74,0.1045994896554843
23,48,-0.08567952617394908
2,21,0.13657751643810184
42,52,0.07531328295363424
22,89,0.06822326776528669
2,32,0.07491513733244362
56,71,-0.04063406637566398
9,65,0.0856132910928332
2,89,-0.04736136111942211
17,90,0.05486386925763804
2,19,-0.08241108441250454
33,51,0.06872497869054237
51,70,-0.056327398236678386
40,51,0.10610303077824826
1,79,-0.03677245612798012
12,53,0.0511159365269582
59,85,-0.02005731134749602
44,71,-0.015194191212180533
62,92,-0.024284144883530957
2,69,-0.06793077452729512
