i,j,gamma_pred
83,95,0.09778877261172916
50,94,0.11717417028807359
7,53,-0.07191502993100023
41,72,0.06986782933251945
63,72,-0.10898317575844453
57,90,0.12266772198713115
37,58,0.07650414150134377
0,16,0.09129592744885243
10,12,0.20225634178993157
27,74,-0.13029413199326662
39,94,-0.1303126603167396
74,86,0.0798244569908674
51,83,-0.21701265381167942
0,3,0.14821626475931657
69,98,0.13914996162515142
44,78,0.23267139589635027
14,67,0.05509260961441168
77,90,-0.18137812449566304
12,27,-0.10780841209703185
59,66,-0.05561282912523708
4,21,-0.16152867887291222
72,95,-0.07856275554772589
42,44,-0.18893352324030488
0,14,-0.0692346474500706
6,98,-0.29211921489131243
33,77,-0.1107501376858148
28,71,0.21204825118924583
48,70,-0.08094074438540062
58,82,0.12002344594321485
16,45,-0.1097161662377066
2,43,0.1138408717773646
1,94,-0.09886264996563353
8,14,0.15293285921422947
18,94,0.05334427906998751
58,94,-0.10753220811245091
64,92,-0.08636835982565172
40,41,-0.01966046728623269
2,82,-0.16837499776172976
6,24,0.1295615070169237
71,92,0.177639134772793
0,43,-0.32216587354433257
27,77,0.31307247922927794
14,28,-0.03333973148533302
1,19,0.12626318061746497
37,71,-0.10108486413284766
15,95,0.11952217092211323
3,12,-0.053490762751113446
0,53,0.07315586014695404
52,65,-0.12134049073114653
51,59,0.08021934640542502
28,79,-0.18379422778529583
24,74,-0.08103867948712648
52,64,0.07685715238698132
9,57,-0.1691763242428801
1,62,0.09032671575270734
24,81,-0.09441109326554883
63,89,-0.06430977881681166
87,99,-0.06818486568780897
48,60,0.13989518158599756
6,43,0.13262878419451837
66,99,0.09579906504313214
36,45,-0.022404055461957534
12,14,-0.07491987425959933
63,98,0.06719641028574573
2,19,-0.11540029215402539
10,79,0.18109398445175717
34,81,0.08110309116668266
3,66,-0.006152442804336758
63,78,-0.07961154039238141
47,66,-0.04974889380930563
60,89,-0.00576035400058118
91,93,0.005393112761777986
63,99,0.08272588929300778
39,53,0.07803300141176103
27,40,-0.06601318863001178
1,95,-0.08211228580074786
77,89,0.056678257828936984
51,68,0.038378591970154474
8,92,-0.13049305495095787
10,73,-0.07242234701014263
9,54,0.06819126536417416
57,72,0.06719698605710661
82,92,0.09175909087756126
36,78,0.09734484236028965
9,65,0.036741187743104774
34,82,-0.04264429157020016
52,83,0.06741918383072193
24,29,0.06681900295208168
25,34,-0.020862512878969716
14,96,-0.08275099263723651
48,99,-0.09322618730337298
42,48,0.12228883977173513
10,78,-0.16044731961976638
65,72,0.005480373034284641
13,56,0.06611993681726966
2,21,0.13688657991647715
78,79,-0.01880968565659588
33,80,0.06065095894704528
3,15,-0.051832393583303916
12,15,-0.008295678554521818
4,32,0.061681097060124965
13,55,-0.02942364742923169
48,75,-0.007435758407126486
57,79,0.03876715745239462
48,69,-0.09946703057426087
5,71,-0.05510787289638649
63,82,0.06294370463070281
46,53,-0.020765339629745874
45,85,0.007433852809881118
16,26,0.06370835078406176
11,26,-0.06161184156557669
19,55,-0.040447168817342304
60,61,-0.06824293088505173
90,96,0.06720173469880936
64,79,-0.047312039743243633
7,77,-0.023584937565415715
74,97,-0.002946037350239763
12,92,-0.012430774288712573
30,98,0.00269740223606299
7,29,0.027211665300197613
33,46,-0.03652806306194378
48,55,0.007686650549477508
1,29,-0.028690315995605384
20,63,-0.007122992564795094
81,92,0.021424266340180423
