generation,best_auc,mean_auc
0,0.7651647941000153,0.7592702497751375
1,0.7667514865953672,0.7602896261973735
2,0.7668879286963504,0.7610679564952779
3,0.7675240475259456,0.7616651833814715
4,0.7675240475259456,0.7622228945222724
5,0.7675240475259456,0.7626658768880609
6,0.7675818928652743,0.7631412120053458
7,0.7682198498344273,0.7635909551722737
8,0.7682198498344273,0.7639753459166805
9,0.7689640695210453,0.7643806326420082
10,0.7690168306445762,0.7646699081014958
11,0.7691338771141131,0.7650016828337125
12,0.7693760109360177,0.7652934330300251
13,0.7697249289334183,0.7655886337375916
14,0.7697697456438538,0.7659225678157797
15,0.7698607374628941,0.7662010473458469
16,0.7701363149955882,0.7664705328525404
17,0.7709132874611049,0.7667265480619067
18,0.7709132874611049,0.7669656530587197
19,0.7716958082400669,0.7672249282138062
20,0.7716958082400669,0.7675233971217733
21,0.7716958082400669,0.7677709948760882
22,0.7719818175406619,0.7680171502488105
23,0.7723966921570562,0.7682700314393565
24,0.7728672454546621,0.7685192647350515
25,0.7728672454546621,0.7687828180517559
26,0.7728672454546621,0.7690769254221805
27,0.772942092933077,0.7693995336913708
28,0.7735889798710031,0.76972146645731
29,0.7736692400837748,0.770031655357437
30,0.7740844771135004,0.7703440922005588
31,0.7744172220900833,0.7706282878675162
32,0.7744172220900833,0.7709321396381171
33,0.7747361223559551,0.7711928946389487
34,0.7751995108202214,0.7714207127144961
35,0.7751995108202214,0.7716627801261133
36,0.7751995108202214,0.7719047336734586
37,0.7753428778838501,0.7721444489417302
38,0.7754914099892716,0.7723873656676856
39,0.7756326547187161,0.7725741664007774
40,0.7759206820618896,0.7727686908424604
41,0.7761041075314248,0.7729876674328406
42,0.7761041075314248,0.7731356249123705
43,0.7775070903626147,0.773343236464465
44,0.7775070903626147,0.7736193732191802
45,0.7775070903626147,0.7738685291617908
46,0.7775070903626147,0.7740892950676131
47,0.7779091657916494,0.7743431116313234
48,0.7779091657916494,0.7745242251945185
49,0.7779091657916494,0.7747771389618513
50,0.7779091657916494,0.7749854533311684
51,0.7779091657916494,0.775183339007883
52,0.7783549759057058,0.7754325624727906
53,0.7783549759057058,0.7756692127906615
54,0.7783549759057058,0.7759024366795143
55,0.7783549759057058,0.7761064641071639
56,0.7783843392074059,0.7762946113035545
57,0.7787707761101044,0.7764847111647227
58,0.7792736754493453,0.7766523895625221
59,0.7792736754493453,0.7768016532631311
60,0.7792736754493453,0.7769071651696802
61,0.7793995606324999,0.7770376712127595
62,0.7793995606324999,0.7771719544123139
63,0.7793995606324999,0.7772879290483344
64,0.7794115776328139,0.7774161451006508
65,0.7798567724263944,0.7774836398591829
66,0.7798567724263944,0.7775918150487443
67,0.7798567724263944,0.7777128192426358
68,0.7798567724263944,0.7778097041188471
69,0.7799543346166198,0.7778985664336553
70,0.7803866311458147,0.7779867518203284
71,0.7803866311458147,0.7780777001588947
72,0.7803866311458147,0.7781688393432784
73,0.7803866311458147,0.778254880751348
74,0.7806370926524674,0.7783340206923671
75,0.7806427713304199,0.778459982226103
76,0.7807623520859854,0.7785701636693803
77,0.7808503663796713,0.7786224877810977
78,0.7810860836605102,0.778729934858811
79,0.7810860836605102,0.7788345270463658
80,0.7812778915678867,0.7789446828769283
81,0.7817982753948919,0.7790746001300126
82,0.7817982753948919,0.7791976320577796
83,0.7818831844060062,0.77932650162998
84,0.7822089157720784,0.7794579938479685
85,0.7822089157720784,0.7795438608374525
86,0.7822089157720784,0.7797094157968802
87,0.7824944218656739,0.7798233763090796
88,0.7825104436636625,0.7799185439157938
89,0.7826997537870726,0.7800953438256338
90,0.7829165473559829,0.7802187920190066
91,0.7829165473559829,0.7803346908167786
92,0.7831919345564957,0.78048955111915
93,0.7831919345564957,0.7806347214028994
94,0.7839993158470638,0.780790247577192
95,0.7839993158470638,0.7809543836662658
96,0.7839993158470638,0.7810890736721772
97,0.7839993158470638,0.7812297613462585
98,0.7839993158470638,0.7813909290511374
99,0.7841620498619473,0.7815366916251689
100,0.7842672044810973,0.781698530046314
101,0.7844105402572444,0.7819083980529018
102,0.7845992950278521,0.7820253421380653
103,0.7845992950278521,0.7821689150107495
104,0.7851438927585058,0.7822769684346462
105,0.7853177155784088,0.7823996153334474
106,0.7853177155784088,0.782536003754237
107,0.7854163519721771,0.7826827048353955
108,0.7854163519721771,0.7828587591084867
109,0.7854163519721771,0.7829794635044234
110,0.7854259989457423,0.7831195088973449
111,0.7856591089364283,0.7832533016473706
112,0.7857845326292259,0.7833577051088352
113,0.7857845326292259,0.7834502320859774
114,0.7857845326292259,0.7835263001138278
115,0.7857845326292259,0.7836027391486377
116,0.7858499651828992,0.7836535515769901
117,0.7861115572112138,0.7837567535039861
118,0.7861411395252867,0.7838402093888649
119,0.7861797143830964,0.7838951470026039
120,0.7862582850718495,0.7839626221464921
121,0.7862582850718495,0.7840251044392439
122,0.7862582850718495,0.7841154947121223
123,0.7862582850718495,0.7841786135017608
124,0.786305341444526,0.7842065339225721
125,0.786418344007036,0.7842589432705156
126,0.7865367149799705,0.7843175566327864
127,0.7866530548738759,0.7844003524039443
128,0.7866530548738759,0.7844631610016661
129,0.7868142975187917,0.7845075020524261
130,0.7868142975187917,0.7845616313788413
131,0.7868142975187917,0.7846334978550801
132,0.7868142975187917,0.7846941659627527
133,0.7868474205328922,0.7847521171476324
134,0.7870089056557925,0.7847942275313023
135,0.7870089056557925,0.784843324895925
136,0.7873989275824509,0.784891774462362
137,0.7873989275824509,0.784926697468758
138,0.7873989275824509,0.7849778299419767
139,0.7873989275824509,0.7850197698910003
140,0.7873989275824509,0.7851248045304794
141,0.7875883602484981,0.785183318744024
142,0.7875883602484981,0.7852183921597742
143,0.7875883602484981,0.7852713562282523
144,0.7875883602484981,0.7853340661230944
145,0.7878406129634858,0.7853999784572651
146,0.7878406129634858,0.7854345308842969
147,0.7879776521339139,0.7854872898867973
148,0.7881169883269664,0.7855887942723572
149,0.7881169883269664,0.7856771250949787
150,0.7881169883269664,0.7857455730787906
151,0.7881169883269664,0.7858045977280465
152,0.7881169883269664,0.7858635722104325
153,0.788244920232891,0.7859453899844469
154,0.788244920232891,0.7860187384131211
155,0.788244920232891,0.7860364347340848
156,0.788244920232891,0.7860994764079026
157,0.7884330336101211,0.7862125832854842
158,0.7885483696973178,0.7862736093336816
159,0.7885483696973178,0.7863669844531851
160,0.7886365013190606,0.7864283471703307
161,0.7886365013190606,0.7864571494040484
162,0.7886365013190606,0.786523137079779
163,0.7890162114131649,0.786551131913955
164,0.7890162114131649,0.7866030775722921
165,0.7890162114131649,0.7866571230169686
166,0.7890162114131649,0.7867116004883193
167,0.7891739655038567,0.7867650479496954
168,0.7891739655038567,0.7867350687878102
169,0.7892786429889088,0.7867479324286862
170,0.7892786429889088,0.7868049041680727
171,0.7894300770082702,0.7868901808149203
172,0.7894300770082702,0.7869149959075322
173,0.7896366682508127,0.7869065592954164
174,0.7896366682508127,0.7869552389030634
175,0.7897384177490233,0.7870265537523174
176,0.7897384177490233,0.7871005045119482
177,0.7898960154023057,0.7871495497842175
178,0.7898960154023057,0.7872156731081291
179,0.7899833778734537,0.787246255720802
180,0.7899833778734537,0.7872977308779873
181,0.7899833778734537,0.7873764207303293
182,0.7899833778734537,0.787464167688127
183,0.7902188813565,0.7875205496102459
184,0.7902188813565,0.7875713058997306
185,0.790336029510353,0.7876216459913989
186,0.790336029510353,0.7876751319689688
187,0.790336029510353,0.7877542184475035
188,0.790336029510353,0.7878711950990245
189,0.790525712476255,0.7879475882859407
190,0.790525712476255,0.7880066188302797
191,0.7905684120670864,0.788040586237458
192,0.7905684120670864,0.7880778533280657
193,0.7905684120670864,0.7882046936619841
194,0.7905684120670864,0.7882559165638471
195,0.7905684120670864,0.7883069534329507
196,0.7906802283125768,0.7883373389449171
197,0.7906802283125768,0.7883867807599456
198,0.7906802283125768,0.7884449997760989
199,0.7906803925718564,0.788483391785954
200,0.7908023563906212,0.7885178382396777
201,0.790804366611329,0.7885620795459456
202,0.790804366611329,0.7886175768458034
203,0.7908386159747754,0.7886157844850461
204,0.7910858131541569,0.7886778964213574
205,0.7910858131541569,0.7886993821934727
206,0.7910858131541569,0.7887390703980725
207,0.7910858131541569,0.7887983065155072
208,0.7910888897565371,0.7888331086948629
209,0.7910888897565371,0.7888528575958739
210,0.7911205657246028,0.7888904237074637
211,0.7911205657246028,0.7889442016506885
212,0.7911205657246028,0.7889714393747352
213,0.7911878859563466,0.7889862827153805
214,0.7911878859563466,0.7890272585067567
215,0.791253714818123,0.7890806196798651
216,0.791253714818123,0.7891308676937782
217,0.7914376174217562,0.7891854851166427
218,0.7917372837081714,0.7892439172253166
219,0.7917372837081714,0.7892669345613844
220,0.7917372837081714,0.7892601055496237
221,0.7917372837081714,0.7893272994307828
222,0.7917372837081714,0.7893868941236178
223,0.7917372837081714,0.7894027261669401
224,0.7917372837081714,0.7894115833349574
225,0.7917372837081714,0.7894470394826512
226,0.7919130202790465,0.7895059990356937
227,0.7919349606256819,0.789563570883322
228,0.7919349606256819,0.7896301577039003
229,0.7919690353006881,0.7897013417649621
230,0.7920076075512077,0.789759507197392
231,0.7920076075512077,0.7898023085859565
232,0.7920076075512077,0.7898248134813066
233,0.7920803196589873,0.7898438790467669
234,0.7920803196589873,0.7899227475949541
235,0.7920803196589873,0.789970582946406
236,0.7920803196589873,0.7900066900184263
237,0.7920803196589873,0.7900208815156751
238,0.7922647072185892,0.7900870464754032
239,0.7923097820507496,0.7901309967507298
240,0.7923097820507496,0.7901607152657295
241,0.7923097820507496,0.7902077317546886
242,0.7924019810451307,0.7902177580433435
243,0.7925182088255599,0.7902848617318182
244,0.7925182088255599,0.790343522769693
245,0.7925182088255599,0.7903292630970213
246,0.7925182088255599,0.7903815255658814
247,0.7925708734793551,0.790412125424475
248,0.7925708734793551,0.7904312630802043
249,0.792634749480807,0.7904602384119153
250,0.792634749480807,0.7904979208855609
251,0.792634749480807,0.7905279454025621
252,0.7927385013778551,0.7905564893203113
253,0.7929877713529078,0.7906069986290217
254,0.7929877713529078,0.790619677427366
255,0.7929877713529078,0.7906809622073945
256,0.7929877713529078,0.7907058403103876
257,0.7931714731951995,0.7907545405469143
258,0.7932067967621889,0.7908088039232416
259,0.7932108928150189,0.7908664521853296
260,0.7934319075866862,0.7909033790063213
261,0.7935366867560546,0.7909447581663424
262,0.7935366867560546,0.7910433929592345
263,0.7935366867560546,0.791142119118092
264,0.7935366867560546,0.7911791262827298
265,0.7935366867560546,0.7912238949603623
266,0.7937372473364738,0.7912585109935413
267,0.7937897086216372,0.7913119366006113
268,0.7937897086216372,0.791328840457895
269,0.7937897086216372,0.7913901613853941
270,0.7940123633788108,0.791395665990227
271,0.7940123633788108,0.7914343123216817
272,0.7940123633788108,0.791454447378008
273,0.7940123633788108,0.79155340467053
274,0.7940123633788108,0.7916095478665555
275,0.7940911478653562,0.7916113741898742
276,0.7941354326886005,0.7916982812704204
277,0.794172500532702,0.7917658128191202
278,0.7947576025158786,0.7918557235565862
279,0.7947576025158786,0.7918564322949648
280,0.7947576025158786,0.7919144369188635
281,0.7947576025158786,0.7919771376699392
282,0.7947576025158786,0.7920390707396276
283,0.7947576025158786,0.7920450399974605
284,0.7947576025158786,0.7920679366172978
285,0.7947576025158786,0.7921198735646786
286,0.7948053185329638,0.7921818023427675
287,0.7948053185329638,0.79227180691791
288,0.7948053185329638,0.792292097527774
289,0.7948053185329638,0.7923073729433288
290,0.7948053185329638,0.7923883189451112
291,0.7948053185329638,0.7924207861383941
292,0.7948053185329638,0.7924953181738097
293,0.7948053185329638,0.7925146921790877
294,0.7949033578572874,0.7925789841489143
295,0.7950611823448129,0.792651234303543
296,0.7950666133302011,0.7926764704409234
297,0.7950666133302011,0.7927056107867244
298,0.7950666133302011,0.7927486856109327
299,0.7950666133302011,0.7927800871408515
300,0.7950666133302011,0.7928042452172033
301,0.7950666133302011,0.7927866000903817
302,0.7950666133302011,0.792787362533723
303,0.7950666133302011,0.7928476677822175
304,0.7951724640958222,0.7928966312285961
305,0.7951724640958222,0.792987032207008
306,0.7951724640958222,0.7930189894716972
307,0.7951724640958222,0.7930222771459481
308,0.7951980676851219,0.7930240610277977
309,0.7951980676851219,0.792991792423984
310,0.7951980676851219,0.7930641570190955
311,0.7952500883382494,0.7930410406672733
312,0.7952500883382494,0.7930799760455218
313,0.7952576077630501,0.7930697854232795
314,0.7952576077630501,0.7931277200792434
315,0.7952576077630501,0.793104433563933
316,0.7954591408626963,0.7931191283007722
317,0.7954593259802971,0.7931088565070695
318,0.7954890204078466,0.7931304650095469
319,0.7954890204078466,0.79316153774323
320,0.7954890204078466,0.7931490859055825
321,0.7954890204078466,0.7932124766290658
322,0.7955974054594961,0.7932823507041215
323,0.7955974054594961,0.7932772463887239
324,0.7955974054594961,0.7933072705719919
325,0.7955974054594961,0.7933284124686091
326,0.7958315270787616,0.7933165732841798
327,0.7958315270787616,0.7934001063500618
328,0.7958315270787616,0.7934194847029961
329,0.7958315270787616,0.7934925974587134
330,0.7958930643409465,0.7935250046491243
331,0.7958930643409465,0.7935525598602858
332,0.7958930643409465,0.7935910306937367
333,0.7958930643409465,0.7936535843141252
334,0.7958930643409465,0.7937086000018642
335,0.7959448425160898,0.7937474038032151
336,0.7960026304950352,0.7937780328895313
337,0.7960026304950352,0.7938215541170122
338,0.7960026304950352,0.7938453210242297
339,0.7960026304950352,0.7939038047689815
340,0.7960311464274357,0.7939591865932618
341,0.7963293578459455,0.7939744389369061
342,0.7963293578459455,0.7940345667188928
343,0.7963293578459455,0.7940617410584125
344,0.7963468553701606,0.7940875177861186
345,0.7963468553701606,0.7941307974924909
346,0.7963915338942179,0.794172380571282
347,0.7963915338942179,0.7942013097669937
348,0.7963915338942179,0.794232307551514
349,0.7963915338942179,0.7942851866053859
350,0.7963915338942179,0.7943173800605792
351,0.7963915338942179,0.7943405655629509
352,0.7964680109289781,0.7944225671639574
353,0.7964680109289781,0.7944850697062281
354,0.7964715438071351,0.7945827179670124
355,0.7965281715419625,0.7945949560955151
356,0.7965281715419625,0.794654990343575
357,0.7965556732384935,0.794714551071241
358,0.7966334095943977,0.7947268684613644
359,0.796708713348589,0.7947332227546815
360,0.7969593391145211,0.7948189958061087
361,0.7969593391145211,0.7948649521356933
362,0.7969593391145211,0.7949050452355063
363,0.7969593391145211,0.7949625418693319
364,0.7969593391145211,0.7950103604350498
365,0.7969593391145211,0.7950146427409555
366,0.7969593391145211,0.7950413914416613
367,0.7969919745653631,0.7950535971719767
368,0.7971119803092234,0.7950974826796086
369,0.7971862750421257,0.7951539406381303
370,0.7971862750421257,0.7952173873766352
371,0.7971862750421257,0.7952444532959048
372,0.7973314437432499,0.7952604406841817
373,0.7973314437432499,0.7952982795196251
374,0.7973314437432499,0.7953663840568379
375,0.797364425963682,0.7953698745730482
376,0.797364425963682,0.7953869569358448
377,0.797364425963682,0.7954412549539328
378,0.7973880610489168,0.7954707966359961
379,0.7974931948097458,0.7955008416945326
380,0.7975640244540351,0.7955471795710474
381,0.7975640244540351,0.7956050955627245
382,0.7975640244540351,0.7956390991695195
383,0.7977078425788603,0.7956714276614844
384,0.7977078425788603,0.7957303129367415
385,0.7978159095411111,0.7957352463481806
386,0.7978159095411111,0.7957615148916355
387,0.7978208686069815,0.7957808551064331
388,0.7978208686069815,0.7958313015207866
389,0.7978208686069815,0.7958552838214582
390,0.7978208686069815,0.7958971142004168
391,0.7978208686069815,0.7959104952867038
392,0.7978208686069815,0.7959455063152152
393,0.7978208686069815,0.7960018099495366
394,0.7980190800189733,0.7960008169696001
395,0.7980256008516452,0.7960131772079299
396,0.7980256008516452,0.7960450159386906
397,0.7980256008516452,0.7960658678303351
398,0.7980605750417542,0.7961164392942353
399,0.7980605750417542,0.7961378275902009
400,0.7980605750417542,0.7961573826600473
401,0.7980605750417542,0.7961960831514369
402,0.7983376413371254,0.7962463023130769
403,0.7983680684132077,0.7962936135705281
404,0.7985674035672552,0.7963053125466257
405,0.7985674035672552,0.7963047545448164
406,0.7985674035672552,0.796311648437689
